"TINWSYS_IS_NUMBER","WATER_SYSTEM_NUMBER","SYSTEM_NAME","REGULATING_AGENCY","COUNTY","FEDERAL_CLASSIFICATION_TYPE","SERVICE_CONNECTIONS","POPULATION","OWNER_TYPE","PL_ADDRESS","PL_ADDRESS_CITY_NAME","PL_ADDRESS_STATE_CODE","PL_ADDRESS_ZIP_CODE","LATITUDE_MEASURE","LONGITUDE_MEASURE","SERVICE_AREA_ECONOMIC_STATUS","MHI","CALENVIRO_SCREEN_SCORE","RISK_ASSESSMENT_RESULT","CURRENT_FAILING","FINAL_SAFER_STATUS","FAILING_START_DATE","PRIMARY_MCL_VIOLATION","PRIMARY_ANALYTES","SECONDARY_MCL_VIOLATION","SECONDARY_ANALYTES","E_COLI_VIOLATION","E_COLI_ANALYTES","TREATMENT_TECHNIQUE_VIOLATION","TT_ANALYTES","MONITORING_AND_REPORTING_VIOLATION","MONITORING_AND_REPORTING_ANALYTES","SOURCE_CAPACITY_VIOLATION","SOURCE_CAPACITY_ANALYTES","TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT","WEIGHTED_WATER_QUALITY_SCORE","WATER_QUALITY_SCORE","WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","WATER_QUALITY_RISK_LEVEL","WEIGHTED_ACCESSIBILITY_SCORE","ACCESSIBILITY_SCORE","ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","ASSESSIBILITY_RISK_LEVEL","WEIGHTED_AFFORDABILITY_SCORE","AFFORDABILITY_SCORE","AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","AFFORDABILITY_RISK_LEVEL","WEIGHTED_TMF_CAPACITY_SCORE","TMF_CAPACITY_SCORE","TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","TMF_CAPACITY_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET","HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE","HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET","TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL","PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET","PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET","CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_THRESHOLD_MET","NUMBER_OF_WATER_SOURCES_RAW_SCORE","NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE","ABESENCE_OF_INTERTIES_RISK_LEVEL","ABESENCE_OF_INTERTIES_THRESHOLD_MET","ABESENCE_OF_INTERTIES_RAW_SCORE","ABESENCE_OF_INTERTIES_WEIGHTED_SCORE","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET","SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE","SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE","EXTREME_WATER_BILL_RISK_LEVEL","EXTREME_WATER_BILL_THRESHOLD_MET","EXTREME_WATER_BILL_RAW_SCORE","EXTREME_WATER_BILL_WEIGHTED_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL","HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE","TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL","TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET","TOTAL_NET_ANNUAL_INCOME_RAW_SCORE","TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE","OPERATING_RATIO_RISK_LEVEL","OPERATING_RATIO_THRESHOLD_MET","OPERATING_RATIO_RAW_SCORE","OPERATING_RATIO_WEIGHTED_SCORE","DAYS_CASH_ON_HAND_RISK_LEVEL","DAYS_CASH_ON_HAND_THRESHOLD_MET","DAYS_CASH_ON_HAND_RAW_SCORE","DAYS_CASH_ON_HAND_WEIGHTED_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET","OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET","MONITORING_AND_REPORTING_VIOLATIONS_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE","SIGNIFICANT_DEFICIENCIES_RISK_LEVEL","SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET","SIGNIFICANT_DEFICIENCIES_RAW_SCORE","SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE","FUNDING_RECEIVED_SINCE_2017","TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017","LEGISTATIVE_DISTRICT","REGIONAL_BOARD","CREATED_DATE"
3,"CA0103040","NORRIS CANYON PROPERTY OWNERS ASSN","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",19,50,"PRIVATE","8653 NORRIS CANYON ROAD","CASTRO VALLEY","CA","94552",37.734364,-122.027303,"Non-DAC","130464","13.969586080979","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","0.83","0.00","0.00","0.00","NONE","0.33","0.17","0.40","LOW","0.33","0.33","0.40","LOW","0.17","0.08","0.20","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","HIGH","Equal to or greater than 200% of statewide average","1.0","1.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 10","Region 2 San Francisco","2025-11-02"
4,"CA0103041","TRAILER HAVEN MOBILE HOME PARK","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",191,459,"PRIVATE","2399 E 14TH ST","SAN LEANDRO","CA","94577-6058",37.715083,-122.146916,"DAC","61897","31.3849712377491","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.34","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.67","0.67","0.50","MEDIUM","0.67","0.33","0.50","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 9","Region 2 San Francisco","2025-11-02"
18,"CA0105008","CASTLEWOOD DOMESTIC WATER SYSTEM","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",207,524,"LOCAL","707 COUNTRY CLUB CIRCLE","PLEASANTON","CA","94566",37.368848,-121.913031,"Non-DAC","178706","10.0744524552284","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.00","0.00","0.00","0.00","NONE","1.00","0.50","1.00","MEDIUM","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",3000000.00,830.93,"State Senate District 10","Region 2 San Francisco","2025-11-02"
19,"CA0105009","MOUNTAIN HOUSE SCHOOL","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","NON-TRANSIENT NON-COMMUNITY",1,50,"LOCAL","3950 MOUNTAIN HOUSE ROAD","BYRON","CA","94514",37.787218,-121.578680,"Non-DAC","140487","16.3819974683625","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.00","0.00","0.00","0.00","NONE","3.00","1.50","1.00","HIGH","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","VERY HIGH","0 source (automatically At-Risk)","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","VERY HIGH","1 or more occurrence(s) of bottled/hauled water reliance within the last 3 years","1","3","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",274408.00,0.00,"State Senate District 7","Region 5 Central Valley (Sacramento Office)","2025-11-02"
29,"CA0110001","ALAMEDA COUNTY WATER DISTRICT","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",86959,344000,"LOCAL","43885 S GRIMMER BLVD","FREMONT","CA","94538",37.537762,-122.019898,"Non-DAC","157713","21.844306424367","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 10","Region 2 San Francisco","2025-11-02"
30,"CA0110003","CALIFORNIA WATER SERVICE - LIVERMORE","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",18595,60414,"PRIVATE","195 S N ST","LIVERMORE","CA","94550-4350",37.674081,-121.773454,"Non-DAC","148653","13.4832493648639","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.50","1.50","0.50","1.00","MEDIUM","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","1.00","3.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
31,"CA0110005","EAST BAY MUD","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",392875,1442800,"LOCAL","375 ELEVENTH STREET","OAKLAND","CA","94607",37.900147,-122.299454,"Non-DAC","132174","18.3369886254808","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",26043066.00,0.00,"State Senate District 9","Region 2 San Francisco","2025-11-02"
32,"CA0110006","CITY OF HAYWARD","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",36838,162954,"LOCAL","777 B ST","HAYWARD","CA","94541-5007",37.645000,-122.078752,"Non-DAC","109180","26.8680676445056","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 10","Region 2 San Francisco","2025-11-02"
33,"CA0110008","CITY OF PLEASANTON","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",22334,76689,"LOCAL","3333 Busch Road","PLEASANTON","CA","94566-8455",37.661605,-121.886427,"Non-DAC","176277","10.5447168280165","Not At-Risk","Failing","Failing","2025-09-09","YES","TOTAL HALOACETIC ACIDS (HAA5); TTHM","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.33","1.50","0.50","0.64","MEDIUM","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.83","0.42","0.36","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","1.00","3.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",1000000.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
34,"CA0110009","DUBLIN SAN RAMON SERVICES DISTRICT","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",25458,98776,"LOCAL","7051 DUBLIN BLVD.","DUBLIN","CA","94568",37.731683,-121.899725,"Non-DAC","194999","9.50999826707037","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","0.33","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.33","0.17","1.00","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","Not Applicable","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
